S1,S2
404259.4406160633,164.44591726609306
404381.82658004854,163.72877415603577
404338.10154828016,164.59440891380734
404331.4273285577,164.64268212393102
404374.6509978906,159.86259000779023
404364.146065765,160.76605179999183
404327.90750365704,165.4476317257054
404354.4552735376,160.5768391923196
404305.4826727526,165.32279807686726
404318.06058851286,165.34984735450266
404445.34521335363,165.64108930618238
404411.8258971816,161.50045241347874
404397.4564840912,160.59093482005886
404370.6570408342,164.7471062647793
404353.42468084686,164.8291772314375
404356.5221524989,165.28946201643663
404359.0643137929,164.84847371515934
404356.7704122091,164.80350657306656
404330.5509092263,164.787164199799
404305.6974441868,177.3328695469996
404287.8199185172,177.45080875728206
404267.5448869183,177.32287826399698
404261.84732576326,214.88235233808584
404249.49011701124,214.88105785935656
404175.59644603654,214.80224313709294
404219.57217390236,214.74269445618452
404281.77599379705,204.5048049345591
404255.54564366356,214.90209737817386
404272.21907143283,215.02319266993237
404324.61355204385,204.67932662149286
404361.5166219136,205.46154499081362
404356.54847201746,205.70693015881676
404345.03890098067,206.49136743157686
404351.2637258049,206.5916032120139
404322.1239271511,206.15016323898203
404291.92636633856,206.2534764946737
404209.494252036,214.34142280623135
404234.96575384616,234.81336448454513
404268.4069266617,225.37284294196124
404342.46692043124,225.33388617756324
404337.1839163404,226.68213112499498
404287.40403733583,225.36354822884337
404284.144244179,226.4555279292215
404304.92451147456,226.6361794972898
404298.95047731994,226.37902286471981
404309.7979643816,226.36966026987471
404286.8376368347,225.45545028595802
404309.6845339812,222.07027924984843
404375.43944169657,223.29864628728288
404354.08576276765,225.13781695210776
404353.8325992858,228.77885345843225
404349.83403302316,228.82902541064945
404343.4972847063,228.81933371579635
404347.6056504629,228.8611368418259
404285.9089703853,227.64654122534014
404340.26295717666,228.65948634922557
404407.17913951614,228.57955846039624
404411.89770833566,228.92190966630864
404383.0010796622,228.99841271949347
404371.46327586466,229.03982619653743
404346.5708693139,228.7773830995844
404379.71374556574,229.09184488869465
404394.6648830639,229.19689838030234
404519.62493238156,229.22830166797104
404485.0487317906,227.58389910125723
404604.7286423103,228.97166395635082
404703.6656860069,228.58457612816252
404685.6400474387,228.51867786541783
404654.15002989006,228.38403806311516
404670.5149916741,228.90207147621229
404672.01799776556,229.0941617756886
404653.1466740473,229.1086679919635
404778.1017923373,229.1246465227186
404668.9385225205,229.2889073627616
404720.8704815558,229.28509574527087
404735.3346400306,229.19593047712897
404712.82441722165,229.17300453777324
404677.27870842663,229.18082369354465
404659.4041171673,229.29396364421717
404667.18787289364,229.51156237793336
404655.33663474297,229.49126950389103
404675.19296058087,229.67085366011878
404639.8725969783,230.45164722722726
404599.08297366154,230.40939974584938
404659.6161638004,230.8180402205967
404670.84830828826,230.59598446249092
404669.2633973282,230.51295958760804
404654.6112565344,230.50896762529848
404666.3433065279,230.77786272980052
404621.5062546384,230.7482377194879
404637.8383901715,230.67803914951938
404615.6875704032,230.40081089356187
404630.50256207935,230.09029031956592
404614.2478825349,230.71578510772932
404587.39696101757,230.82234378764366
404570.56534546433,230.2406629199657
404563.8468765415,230.2524129375946
404537.8268547994,230.18547817520437
404660.24024076876,230.89924683322081
404544.52043709706,230.31723517796655
404578.99342916405,230.30312831888082
404551.2690755246,230.22614289295473
404590.0926868417,230.19245770587736
404575.0799260991,230.7336992483543
404608.5286347489,230.75363906539195
404564.58628509985,230.7903666061819
404610.4095278631,230.78617478234216
404561.5135776443,230.41519233679463
404568.7484276077,230.41213183631805
404571.973325145,231.64399002258858
404575.013731516,231.66832885730938
404649.3484789586,232.0275146108974
404676.9884934243,232.2222500514257
404642.7372790169,232.18252806420625
404677.9493970298,232.18915974608316
404655.3170967286,232.1940243400534
404663.1333596853,233.85194631830635
404664.7172992672,233.74885336592246
404668.38879698876,233.6063807253433
404671.71779144055,233.5799094003006
404667.4863215901,234.78863876036783
404679.93521725724,233.78131619750437
404667.2532078322,234.87048996012786
404653.45150291064,234.8898724212106
404546.06669432326,232.24916613497288
404537.8027844567,232.37991801331484
404538.0267588404,233.47718334331444
404550.00039904524,233.98197464581455
404567.70730174694,233.93189914754907
404546.6343672119,233.87846303442217
404612.28341680067,234.14270140500363
404609.7813584327,234.49103581719143
404659.1209960859,234.0865911129782
404588.08435115474,233.94870523761642
404639.83792831923,234.11076997553224
404624.31252133806,233.7553096653933
404617.3274635728,233.72092791008754
404513.5503040215,233.80644653151444
404513.0248371424,231.94370730487432
404533.4012029934,230.98560523937027
404495.32769803365,230.9776232306726
404249.7523481667,239.67768048770895
404339.9980522459,230.22366603423148
404354.80954028224,230.40499965297786
404333.83133806713,241.57591349942336
404342.96992963227,240.25317085176525
404355.51743314933,240.28470428585473
404339.9457872739,242.116102817107
404377.58790611324,242.03259413728293
404326.3014883366,242.16519065941424
404353.90558319475,241.8919591296062
404358.6080558082,241.86147107844968
404368.0903596311,242.0950322974537
404360.43294932746,242.14455070042317
404400.26121116424,242.12235310373947
404413.54143952305,242.14426002518866
404406.7943319921,242.13162443148892
404514.89118072676,242.02246983258385
404507.89112359256,242.34406737815988
404481.27487888915,243.3727746044045
404495.37767431256,243.1987113790218
404484.9631342041,243.2562632836442
404420.45354521205,243.22214850402352
404435.39093646925,242.21986526294415
404421.55226943607,242.20719823868777
404480.72429986316,242.097469796014
404464.7788147458,242.1352058698606
404473.4848624555,242.15712999575712
404489.72736342717,242.14320275830974
404491.8711175858,242.23844942699608
404520.5484165193,242.20056901184319
404507.77697190194,242.6990824597825
404490.5005370431,243.67907105512336
404519.7611638361,243.70903318790897
404523.41978348786,243.23385197134996
404519.1690471982,243.2176252187312
404488.873121519,242.25821588415818
404480.57723756693,242.24805376467262
404485.52437435486,242.2418976825255
404558.22466137016,243.48762797712587
404487.08373611525,243.3963927066721
404478.0782164533,242.38155057665958
404490.6876118359,242.37973769980817
404501.7558593898,242.3423832895331
404464.6160688464,242.44476559772747
404486.60987525,242.46096850343082
404476.2453296348,242.39848954877257
404562.6593350368,243.96922489474875
404530.26576328615,243.34925288119518
404627.0074173731,244.5802386253214
404613.8249378512,244.2048880792482
404557.06857910997,244.66599276142966
404535.44648731826,244.68159870587326
404576.9909689508,244.67695524927183
404576.72065465484,244.67251950725833
404568.6886518498,244.70406113557658
404578.0282069748,245.33056063671057
404591.0227570722,245.57499442533359
404638.70257373573,245.93322457608252
404635.46694870916,245.34619336673853
404641.23878112907,245.36920870493435
404658.45788212435,245.54769233599993
404680.52965130884,245.64515209017648
404676.41572054196,245.81887920584924
404736.0656861926,243.46072953589348
404648.16210514493,244.644268319183
404716.6585666714,244.84772014246386
